"Work type","Work item ID","Parent","Epic Name","Summary","Description","Priority","Component","Story Points","Labels","Labels","Labels","Labels","Labels"
"Epic","1","","Foundation & Platform Setup","Foundation & Platform Setup","Stand up the repo, environments, database and CI so every later epic has a place to land. Nothing in this epic is user-visible; everything after it depends on it.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 7","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","2","1","","Set up the monorepo, package management and code standards","Create the repository layout for the Next.js frontend and FastAPI backend, with shared tooling, formatting and commit conventions so the two stacks stay consistent.

*Acceptance criteria*
* Repo contains a working `apps/web` (Next.js + TypeScript + Tailwind + shadcn/ui) and `services/api` (FastAPI + SQLAlchemy + Pydantic).
* A single command installs and runs both locally.
* Lint, format and type-check run clean on a fresh clone.
* README documents local setup end to end.

*Subtasks*
* Initialise Next.js 15 + TypeScript + Tailwind + shadcn/ui in apps/web
* Initialise FastAPI + SQLAlchemy 2.x + Pydantic v2 + Alembic in services/api
* Configure ESLint, Prettier, Ruff and mypy with agreed rule sets
* Add pre-commit hooks and Conventional Commits enforcement
* Write the root README with local setup, ports and env-var table

_BRD reference: Tech baseline S23_","Highest","Platform","5","epic-fnd","phase-0-foundation","phase-0","devex",""
"Story","8","1","","Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist","Provision the database that the whole product assumes: relational core, geospatial queries for distance and routing inputs, vector search for RAG, and exclusion constraints for slot booking.

*Acceptance criteria*
* Local and staging databases run PostgreSQL 17 with postgis, pgvector and btree_gist enabled.
* Extension creation is part of a versioned migration, not a manual step.
* A smoke query proves each extension works (ST_DWithin, vector <-> operator, an EXCLUDE constraint).
* Connection pooling is configured and documented.

*Subtasks*
* Write migration 000 that creates the three extensions
* Add docker-compose service for Postgres 17 + PostGIS for local dev
* Configure SQLAlchemy engine, pooling and statement timeouts
* Add an extension smoke-test to the test suite
* Document the Supabase vs self-hosted decision and its trade-offs

_BRD reference: BRD 1.2, migrations 001-005_","Highest","Platform","5","epic-fnd","phase-0-foundation","phase-0","database",""
"Story","14","1","","Land the core schema migrations 001-005","Apply the five authored migrations (identity, catalogue, availability, booking/payment, AI/ops) and make them re-runnable from an empty database.

*Acceptance criteria*
* `alembic upgrade head` succeeds from an empty database with zero manual steps.
* `alembic downgrade base` runs clean, proving every migration is reversible.
* Every table has an owner, a primary key strategy and created_at/updated_at.
* Migration order has no forward references.

*Subtasks*
* Convert the five SQL files into ordered Alembic revisions
* Add downgrade paths for each revision
* Add a CI job that runs upgrade head then downgrade base on a scratch database
* Generate and commit an ERD from the live schema
* Document the entity model in the repo wiki

_BRD reference: BRD S13, migrations 001-005_","Highest","Platform","8","epic-fnd","phase-0-foundation","phase-0","database",""
"Story","20","1","","Enforce row-level security and tenant isolation at the database layer","Business staff must never see another organisation's bookings or customers. Enforce that in Postgres with FORCE ROW LEVEL SECURITY rather than relying on application filters alone.

*Acceptance criteria*
* RLS is enabled and FORCED on every table holding org-scoped or user-scoped data.
* The application connects as a non-superuser role that cannot bypass RLS.
* A test proves org A cannot read org B's bookings even with a crafted query.
* Session context (current org, current user) is set on every request and cleared on release.

*Subtasks*
* Define the app database role and revoke BYPASSRLS
* Write RLS policies for org-scoped tables (listings, experiences, slots, bookings)
* Write RLS policies for user-scoped tables (trips, favorites, notifications)
* Add SET LOCAL session-context middleware in FastAPI
* Write cross-tenant isolation tests that must fail closed

_BRD reference: BR-21, FR-060, FR-066_","Highest","Platform","8","epic-fnd","phase-0-foundation","phase-0","database","security"
"Story","26","1","","Build the environment and secrets strategy","Define local, staging and production environments with separate credentials, and make sure no secret can reach the client bundle or a log line.

*Acceptance criteria*
* Three environments exist with separate databases and separate third-party keys.
* Secrets come from the platform secret store, never from committed files.
* A CI check fails the build if a secret pattern appears in the repo or in a client bundle.
* Rotating a key requires no code change.

*Subtasks*
* Define the env-var contract and validate it at boot with Pydantic Settings
* Configure Vercel and backend-host environment variables per stage
* Add gitleaks or equivalent secret scanning to CI
* Write the key-rotation runbook

_BRD reference: BRD S25, AC-15_","High","Platform","3","epic-fnd","phase-0-foundation","phase-0","devex","security"
"Story","31","1","","Set up CI/CD with quality gates","Every pull request runs the same checks, and merging to main deploys to staging automatically.

*Acceptance criteria*
* PRs run lint, type-check, unit tests and migration up/down.
* Coverage is reported and a floor is enforced on changed files.
* Merge to main deploys the frontend to Vercel preview and the API to staging.
* A failed deploy rolls back without manual database surgery.

*Subtasks*
* Create the GitHub Actions workflow for the web app
* Create the workflow for the API including a Postgres service container
* Add coverage reporting and the changed-files threshold
* Wire staging auto-deploy and a manual production promotion gate
* Document the branch and release strategy

_BRD reference: BRD S24, S25_","High","Platform","5","epic-fnd","phase-0-foundation","phase-0","devex",""
"Story","37","1","","Build the seed and demo-data toolkit","The AI planner can only be demonstrated against real, verified Lebanese inventory. Build a repeatable seeder so any environment can be filled with credible data.

*Acceptance criteria*
* A single command seeds a coherent Lebanon dataset: regions, businesses, experiences, prices, hours, slots and images.
* Seeded coordinates are valid and fall inside Lebanon.
* Seed data is idempotent - running it twice does not duplicate rows.
* At least 60 experiences across 8+ categories and 6+ regions, enough for the planner to produce varied itineraries.

*Subtasks*
* Define the seed data format and validation rules
* Curate the Lebanon region and locality reference list
* Curate 60+ real experiences with categories, durations, price models and hours
* Write the idempotent seeder command with upsert-by-natural-key
* Add a coordinate and opening-hours sanity checker

_BRD reference: AC-02, AC-03, BR-01_","High","Platform","5","epic-fnd","phase-0-foundation","phase-0","data",""
"Epic","43","","Design System & UI Foundation","Design System & UI Foundation","Turn the brand foundation and the imported Figma frames into coded, accessible, tri-lingual components. This is the epic that connects the design work already done to the code.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 5","High","Design","","epic-dsn","phase-0-foundation","","",""
"Story","44","43","","Codify brand tokens as the single source of truth","Convert the brand package into design tokens consumed by both Figma and Tailwind, so a colour change happens in one place.

*Acceptance criteria*
* Colour, type, spacing, radius, elevation and motion tokens exist in one JSON source.
* Tailwind theme is generated from that source, not hand-maintained.
* Light and dark palettes are both defined; no colour is defined only inside a media query.
* Token names are semantic (surface, accent, danger), not literal (orange-500).

*Subtasks*
* Author the token JSON from the brand package
* Generate the Tailwind theme and CSS custom properties from tokens
* Define the dark-mode token overrides
* Publish the tokens as a Figma variables collection
* Document the token naming convention

_BRD reference: Brand foundation package_","Highest","Design","5","epic-dsn","phase-0-foundation","phase-0","design-system",""
