"Work type","Work item ID","Parent","Epic Name","Summary","Description","Priority","Component","Story Points","Labels","Labels","Labels","Labels","Labels"
"Epic","1","","Foundation & Platform Setup","Foundation & Platform Setup","Stand up the repo, environments, database and CI so every later epic has a place to land. Nothing in this epic is user-visible; everything after it depends on it.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 7","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","2","1","","Set up the monorepo, package management and code standards","Create the repository layout for the Next.js frontend and FastAPI backend, with shared tooling, formatting and commit conventions so the two stacks stay consistent.

*Acceptance criteria*
* Repo contains a working `apps/web` (Next.js + TypeScript + Tailwind + shadcn/ui) and `services/api` (FastAPI + SQLAlchemy + Pydantic).
* A single command installs and runs both locally.
* Lint, format and type-check run clean on a fresh clone.
* README documents local setup end to end.

*Subtasks*
* Initialise Next.js 15 + TypeScript + Tailwind + shadcn/ui in apps/web
* Initialise FastAPI + SQLAlchemy 2.x + Pydantic v2 + Alembic in services/api
* Configure ESLint, Prettier, Ruff and mypy with agreed rule sets
* Add pre-commit hooks and Conventional Commits enforcement
* Write the root README with local setup, ports and env-var table

_BRD reference: Tech baseline S23_","Highest","Platform","5","epic-fnd","phase-0-foundation","phase-0","devex",""
"Sub-task","3","2","","Initialise Next.js 15 + TypeScript + Tailwind + shadcn/ui in apps/web","Subtask of: Set up the monorepo, package management and code standards

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","4","2","","Initialise FastAPI + SQLAlchemy 2.x + Pydantic v2 + Alembic in services/api","Subtask of: Set up the monorepo, package management and code standards

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","5","2","","Configure ESLint, Prettier, Ruff and mypy with agreed rule sets","Subtask of: Set up the monorepo, package management and code standards

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","6","2","","Add pre-commit hooks and Conventional Commits enforcement","Subtask of: Set up the monorepo, package management and code standards

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","7","2","","Write the root README with local setup, ports and env-var table","Subtask of: Set up the monorepo, package management and code standards

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","8","1","","Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist","Provision the database that the whole product assumes: relational core, geospatial queries for distance and routing inputs, vector search for RAG, and exclusion constraints for slot booking.

*Acceptance criteria*
* Local and staging databases run PostgreSQL 17 with postgis, pgvector and btree_gist enabled.
* Extension creation is part of a versioned migration, not a manual step.
* A smoke query proves each extension works (ST_DWithin, vector <-> operator, an EXCLUDE constraint).
* Connection pooling is configured and documented.

*Subtasks*
* Write migration 000 that creates the three extensions
* Add docker-compose service for Postgres 17 + PostGIS for local dev
* Configure SQLAlchemy engine, pooling and statement timeouts
* Add an extension smoke-test to the test suite
* Document the Supabase vs self-hosted decision and its trade-offs

_BRD reference: BRD 1.2, migrations 001-005_","Highest","Platform","5","epic-fnd","phase-0-foundation","phase-0","database",""
"Sub-task","9","8","","Write migration 000 that creates the three extensions","Subtask of: Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","10","8","","Add docker-compose service for Postgres 17 + PostGIS for local dev","Subtask of: Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
